Task A3: Temperatures of Estonia from -10.0 to 10.0
Temperature,Year,Month,Country,Country_Code
-9.99(C) 14.01(F),2011,Feb,Estonia,EST
-9.17(C) 15.49(F),2007,Feb,Estonia,EST
-8.92(C) 15.95(F),2016,Jan,Estonia,EST
-8.65(C) 16.43(F),2012,Feb,Estonia,EST
-8.33(C) 17.01(F),2006,Feb,Estonia,EST
-8.16(C) 17.31(F),2002,Dec,Estonia,EST
-8.09(C) 17.45(F),2010,Dec,Estonia,EST
-8.08(C) 17.46(F),2003,Jan,Estonia,EST
-7.91(C) 17.77(F),2010,Feb,Estonia,EST
-7.23(C) 18.99(F),2014,Jan,Estonia,EST
-7.01(C) 19.38(F),2001,Dec,Estonia,EST
-6.86(C) 19.65(F),2004,Jan,Estonia,EST
-6.56(C) 20.20(F),2012,Dec,Estonia,EST
-6.00(C) 21.20(F),2013,Mar,Estonia,EST
-5.92(C) 21.34(F),2003,Feb,Estonia,EST
-5.91(C) 21.35(F),2013,Jan,Estonia,EST
-5.71(C) 21.73(F),2005,Feb,Estonia,EST
-5.67(C) 21.79(F),2001,Feb,Estonia,EST
-5.55(C) 22.01(F),2005,Mar,Estonia,EST
-5.33(C) 22.41(F),2006,Mar,Estonia,EST
-5.31(C) 22.45(F),2006,Jan,Estonia,EST
-4.68(C) 23.57(F),2011,Jan,Estonia,EST
-4.63(C) 23.67(F),2012,Jan,Estonia,EST
-4.55(C) 23.81(F),2009,Feb,Estonia,EST
-4.53(C) 23.84(F),2009,Dec,Estonia,EST
-4.20(C) 24.44(F),2004,Feb,Estonia,EST
-3.40(C) 25.88(F),2009,Jan,Estonia,EST
-3.37(C) 25.94(F),2005,Dec,Estonia,EST
-3.06(C) 26.49(F),2002,Jan,Estonia,EST
-2.93(C) 26.73(F),2000,Jan,Estonia,EST
-2.68(C) 27.17(F),2013,Feb,Estonia,EST
-2.46(C) 27.57(F),2001,Mar,Estonia,EST
-2.06(C) 28.30(F),2015,Jan,Estonia,EST
-1.93(C) 28.52(F),2010,Mar,Estonia,EST
-1.78(C) 28.79(F),2001,Jan,Estonia,EST
-1.77(C) 28.81(F),2007,Jan,Estonia,EST
-1.66(C) 29.01(F),2000,Feb,Estonia,EST
-1.44(C) 29.41(F),2005,Jan,Estonia,EST
-1.28(C) 29.70(F),2011,Mar,Estonia,EST
-1.26(C) 29.73(F),2002,Nov,Estonia,EST
-1.14(C) 29.95(F),2008,Jan,Estonia,EST
-1.05(C) 30.11(F),2014,Dec,Estonia,EST
-1.03(C) 30.14(F),2009,Mar,Estonia,EST
-0.83(C) 30.50(F),2003,Mar,Estonia,EST
-0.68(C) 30.77(F),2015,Feb,Estonia,EST
-0.54(C) 31.03(F),2002,Feb,Estonia,EST
-0.49(C) 31.13(F),2016,Dec,Estonia,EST
-0.46(C) 31.17(F),2016,Feb,Estonia,EST
-0.44(C) 31.22(F),2004,Mar,Estonia,EST
-0.40(C) 31.29(F),2014,Feb,Estonia,EST
-0.28(C) 31.49(F),2003,Dec,Estonia,EST
-0.21(C) 31.62(F),2000,Mar,Estonia,EST
-0.17(C) 31.70(F),2016,Nov,Estonia,EST
-0.12(C) 31.79(F),2008,Dec,Estonia,EST
-0.01(C) 31.98(F),2010,Nov,Estonia,EST
0.01(C) 32.01(F),2004,Dec,Estonia,EST
0.21(C) 32.38(F),2012,Mar,Estonia,EST
0.31(C) 32.55(F),2004,Nov,Estonia,EST
0.32(C) 32.58(F),2008,Mar,Estonia,EST
0.48(C) 32.87(F),2016,Mar,Estonia,EST
0.52(C) 32.94(F),2007,Nov,Estonia,EST
0.56(C) 33.02(F),2008,Feb,Estonia,EST
0.57(C) 33.03(F),2001,Nov,Estonia,EST
0.71(C) 33.28(F),2000,Dec,Estonia,EST
0.88(C) 33.59(F),2002,Mar,Estonia,EST
1.14(C) 34.05(F),2007,Dec,Estonia,EST
1.44(C) 34.60(F),2013,Dec,Estonia,EST
1.70(C) 35.06(F),2011,Dec,Estonia,EST
1.87(C) 35.36(F),2015,Dec,Estonia,EST
1.88(C) 35.38(F),2002,Oct,Estonia,EST
1.97(C) 35.55(F),2014,Nov,Estonia,EST
2.15(C) 35.87(F),2014,Mar,Estonia,EST
2.30(C) 36.15(F),2015,Mar,Estonia,EST
2.59(C) 36.67(F),2006,Nov,Estonia,EST
2.76(C) 36.97(F),2008,Nov,Estonia,EST
2.82(C) 37.08(F),2009,Nov,Estonia,EST
2.95(C) 37.31(F),2003,Nov,Estonia,EST
3.20(C) 37.77(F),2003,Apr,Estonia,EST
3.23(C) 37.81(F),2007,Mar,Estonia,EST
3.33(C) 38.00(F),2006,Dec,Estonia,EST
3.36(C) 38.04(F),2005,Nov,Estonia,EST
3.36(C) 38.05(F),2012,Nov,Estonia,EST
3.67(C) 38.61(F),2013,Apr,Estonia,EST
4.14(C) 39.46(F),2011,Nov,Estonia,EST
4.16(C) 39.49(F),2015,Nov,Estonia,EST
4.18(C) 39.52(F),2013,Nov,Estonia,EST
4.34(C) 39.81(F),2000,Nov,Estonia,EST
4.46(C) 40.03(F),2009,Oct,Estonia,EST
4.52(C) 40.14(F),2003,Oct,Estonia,EST
4.99(C) 40.98(F),2016,Oct,Estonia,EST
5.00(C) 40.99(F),2006,Apr,Estonia,EST
5.10(C) 41.18(F),2005,Apr,Estonia,EST
5.10(C) 41.19(F),2010,Oct,Estonia,EST
5.11(C) 41.20(F),2012,Apr,Estonia,EST
5.55(C) 41.99(F),2007,Apr,Estonia,EST
5.58(C) 42.05(F),2015,Apr,Estonia,EST
5.64(C) 42.14(F),2010,Apr,Estonia,EST
5.79(C) 42.42(F),2015,Oct,Estonia,EST
5.84(C) 42.51(F),2016,Apr,Estonia,EST
5.86(C) 42.55(F),2009,Apr,Estonia,EST
5.87(C) 42.57(F),2004,Apr,Estonia,EST
6.17(C) 43.11(F),2014,Oct,Estonia,EST
6.25(C) 43.25(F),2002,Apr,Estonia,EST
