Task B3: Countries with Temperatures from -10.0 to 10.0
Temperature,Year,Month,Country,Country_Code
-9.99(C) 14.01(F),2011,Feb,Estonia,EST
-9.98(C) 14.04(F),2001,Jan,Tajikistan,TJK
-9.98(C) 14.04(F),2015,Jan,Korea. Democratic People's Republic of,PRK
-9.97(C) 14.06(F),2007,Feb,Norway,NOR
-9.96(C) 14.06(F),2002,Jan,Finland,FIN
-9.96(C) 14.07(F),2015,Jan,Kazakhstan,KAZ
-9.94(C) 14.11(F),2009,Feb,Kazakhstan,KAZ
-9.94(C) 14.12(F),2013,Jan,Kazakhstan,KAZ
-9.88(C) 14.22(F),2012,Feb,Korea. Democratic People's Republic of,PRK
-9.87(C) 14.24(F),2001,Feb,Kazakhstan,KAZ
-9.87(C) 14.24(F),2003,Dec,Kyrgyzstan,KGZ
-9.86(C) 14.25(F),2003,Jan,Kazakhstan,KAZ
-9.83(C) 14.30(F),2001,Dec,Kazakhstan,KAZ
-9.80(C) 14.36(F),2000,Feb,Korea. Democratic People's Republic of,PRK
-9.77(C) 14.42(F),2010,Dec,Korea. Democratic People's Republic of,PRK
-9.75(C) 14.44(F),2012,Jan,China,CHN
-9.75(C) 14.45(F),2003,Jan,Kyrgyzstan,KGZ
-9.73(C) 14.48(F),2000,Jan,Kazakhstan,KAZ
-9.73(C) 14.49(F),2000,Feb,Kyrgyzstan,KGZ
-9.73(C) 14.49(F),2005,Feb,Tajikistan,TJK
-9.71(C) 14.53(F),2004,Feb,Finland,FIN
-9.70(C) 14.54(F),2009,Feb,Sweden,SWE
-9.68(C) 14.57(F),2009,Dec,Finland,FIN
-9.66(C) 14.62(F),2013,Feb,Korea. Democratic People's Republic of,PRK
-9.64(C) 14.64(F),2014,Jan,Sweden,SWE
-9.62(C) 14.69(F),2016,Nov,Canada,CAN
-9.60(C) 14.71(F),2001,Dec,Korea. Democratic People's Republic of,PRK
-9.60(C) 14.72(F),2009,Feb,Norway,NOR
-9.58(C) 14.76(F),2005,Dec,Kyrgyzstan,KGZ
-9.57(C) 14.77(F),2016,Jan,Kazakhstan,KAZ
-9.57(C) 14.78(F),2011,Jan,Tajikistan,TJK
-9.55(C) 14.82(F),2011,Mar,Mongolia,MNG
-9.54(C) 14.83(F),2000,Dec,Korea. Democratic People's Republic of,PRK
-9.50(C) 14.90(F),2015,Jan,Finland,FIN
-9.45(C) 14.99(F),2012,Dec,Norway,NOR
-9.38(C) 15.12(F),2004,Apr,Canada,CAN
-9.37(C) 15.14(F),2001,Feb,Korea. Democratic People's Republic of,PRK
-9.34(C) 15.19(F),2016,Apr,Canada,CAN
-9.34(C) 15.20(F),2002,Dec,Belarus,BLR
-9.32(C) 15.22(F),2012,Feb,Ukraine,UKR
-9.32(C) 15.22(F),2011,Dec,Tajikistan,TJK
-9.27(C) 15.32(F),2000,Apr,Canada,CAN
-9.26(C) 15.33(F),2002,Jan,Korea. Democratic People's Republic of,PRK
-9.26(C) 15.33(F),2009,Dec,Kazakhstan,KAZ
-9.25(C) 15.36(F),2013,Feb,Kyrgyzstan,KGZ
-9.24(C) 15.36(F),2010,Dec,Kyrgyzstan,KGZ
-9.24(C) 15.37(F),2012,Feb,Georgia,GEO
-9.23(C) 15.39(F),2013,Jan,Sweden,SWE
-9.21(C) 15.42(F),2013,Jan,Finland,FIN
-9.20(C) 15.44(F),2008,Jan,China,CHN
-9.18(C) 15.47(F),2003,Apr,Canada,CAN
-9.17(C) 15.49(F),2007,Feb,Estonia,EST
-9.14(C) 15.55(F),2015,Apr,Canada,CAN
-9.10(C) 15.62(F),2002,Dec,Korea. Democratic People's Republic of,PRK
-9.08(C) 15.65(F),2012,Mar,Mongolia,MNG
-9.08(C) 15.66(F),2008,Apr,Canada,CAN
-9.04(C) 15.73(F),2011,Feb,Kyrgyzstan,KGZ
-9.02(C) 15.76(F),2012,Feb,Sweden,SWE
-9.01(C) 15.78(F),2013,Dec,Kyrgyzstan,KGZ
-9.01(C) 15.78(F),2002,Dec,Tajikistan,TJK
-9.00(C) 15.79(F),2007,Jan,Armenia,ARM
-8.97(C) 15.85(F),2003,Feb,Kyrgyzstan,KGZ
-8.97(C) 15.85(F),2005,Feb,Finland,FIN
-8.97(C) 15.86(F),2004,Jan,Norway,NOR
-8.94(C) 15.92(F),2010,Jan,Kyrgyzstan,KGZ
-8.92(C) 15.95(F),2016,Jan,Estonia,EST
-8.91(C) 15.95(F),2009,Jan,Finland,FIN
-8.91(C) 15.97(F),2011,Jan,Sweden,SWE
-8.90(C) 15.97(F),2002,Dec,Norway,NOR
-8.90(C) 15.98(F),2007,Jan,Finland,FIN
-8.84(C) 16.09(F),2016,Jan,Kyrgyzstan,KGZ
-8.78(C) 16.19(F),2004,Nov,Mongolia,MNG
-8.77(C) 16.21(F),2001,Apr,Canada,CAN
-8.75(C) 16.25(F),2009,Apr,Canada,CAN
-8.75(C) 16.25(F),2000,Jan,China,CHN
-8.73(C) 16.29(F),2003,Mar,Mongolia,MNG
-8.73(C) 16.29(F),2009,Dec,Sweden,SWE
-8.72(C) 16.31(F),2007,Jan,Korea. Democratic People's Republic of,PRK
-8.71(C) 16.31(F),2013,Dec,Korea. Democratic People's Republic of,PRK
-8.69(C) 16.36(F),2001,Dec,Sweden,SWE
-8.69(C) 16.36(F),2014,Jan,Norway,NOR
-8.68(C) 16.38(F),2001,Mar,Finland,FIN
-8.67(C) 16.39(F),2005,Mar,Finland,FIN
-8.67(C) 16.40(F),2013,Jan,Tajikistan,TJK
-8.65(C) 16.43(F),2012,Feb,Estonia,EST
-8.65(C) 16.43(F),2001,Feb,Kyrgyzstan,KGZ
-8.65(C) 16.44(F),2006,Jan,Finland,FIN
